Symbol,Sample Time,Open,High,Low,Close,Volume,HighShort,LowLong,LowShort
NQ=F,3/18/2019 4:00,7338,7379.5,7321.75,7360.75,366874,,,
NQ=F,3/19/2019 4:00,7362.25,7421.25,7351.25,7376.5,427134,,,
NQ=F,3/20/2019 4:00,7378,7458,7349.5,7409.5,550615,,,
NQ=F,3/21/2019 4:00,7400.5,7541,7367.75,7534.5,523249,,,
NQ=F,3/22/2019 4:00,7526.75,7544.75,7353,7368.75,694561,,,
NQ=F,3/25/2019 4:00,7372.25,7390.5,7290,7355.25,596897,,,
NQ=F,3/26/2019 4:00,7363,7447.5,7340.5,7376.75,557412,,,
NQ=F,3/27/2019 4:00,7383.5,7404.75,7276,7334.5,592979,,,
NQ=F,3/28/2019 4:00,7323.5,7372.5,7289.5,7352,446378,,,
NQ=F,3/29/2019 4:00,7350.25,7414.5,7350.25,7400.5,395579,,,
NQ=F,4/1/2019 4:00,7430,7506.5,7428.5,7498.5,412914,,,
NQ=F,4/2/2019 4:00,7495.25,7532.5,7483.75,7519.25,359192,,,
NQ=F,4/3/2019 4:00,7517,7616.25,7513.25,7582.25,483546,,,
NQ=F,4/4/2019 4:00,7581.25,7598,7522,7561.5,432440,,,
NQ=F,4/5/2019 4:00,7565,7612.75,7556,7604.25,358710,,,
NQ=F,4/8/2019 4:00,7607.75,7629.25,7561.25,7623.5,333328,,,
NQ=F,4/9/2019 4:00,7625.75,7633.75,7578.75,7593.25,389517,,,
NQ=F,4/10/2019 4:00,7590.5,7646,7575.75,7641.25,332696,,,
NQ=F,4/11/2019 4:00,7644,7661,7601.5,7617.25,340950,,,
NQ=F,4/12/2019 4:00,7617,7665,7611,7652.25,346210,,,
NQ=F,4/15/2019 4:00,7654,7659,7598.75,7647.75,322483,,,
NQ=F,4/16/2019 4:00,7650.75,7695,7648.75,7679.5,373199,,,
NQ=F,4/17/2019 4:00,7676.5,7733.5,7668.5,7689.75,463944,,,
NQ=F,4/18/2019 4:00,7691.5,7723,7660.25,7712.5,393586,,,
NQ=F,4/22/2019 4:00,7715.25,7746.75,7669.75,7734.75,253668,,,
NQ=F,4/23/2019 4:00,7738,7843.75,7724.5,7838,427149,,,
NQ=F,4/24/2019 4:00,7833.5,7852.75,7802.25,7847.75,387633,,,
NQ=F,4/25/2019 4:00,7855.25,7879.5,7792,7798.5,488329,,,
NQ=F,4/26/2019 4:00,7799.25,7845.5,7755.5,7840.25,467051,,,
NQ=F,4/29/2019 4:00,7837.25,7867.75,7805.5,7813.75,320324,,,
NQ=F,4/30/2019 4:00,7805.25,7857,7740,7800,463833,,,
NQ=F,5/1/2019 4:00,7848.75,7867.25,7736,7756.5,484406,,,
NQ=F,5/2/2019 4:00,7737.75,7805,7682.25,7734.25,592822,,,
NQ=F,5/3/2019 4:00,7739,7872.5,7734.75,7865,454088,,,
NQ=F,5/6/2019 4:00,7810,7817.5,7667.5,7803.5,630196,,,
NQ=F,5/7/2019 4:00,7744.75,7804,7581.25,7674,838952,,,
NQ=F,5/8/2019 4:00,7663.75,7698,7600,7647.5,621509,,,
NQ=F,5/9/2019 4:00,7639.75,7644.5,7481,7595.25,741216,,,
NQ=F,5/10/2019 4:00,7591,7654.5,7435.75,7610.25,802652,,,
NQ=F,5/13/2019 4:00,7534.25,7551.5,7305,7314.75,773473,,,
NQ=F,5/14/2019 4:00,7315.25,7459.5,7290,7421,547769,,,
NQ=F,5/15/2019 4:00,7429.25,7538.5,7353.75,7529.25,535915,,,
NQ=F,5/16/2019 4:00,7524.25,7641,7473.5,7600.25,525588,,,
NQ=F,5/17/2019 4:00,7600.75,7620,7506.5,7511.5,626777,,,
NQ=F,5/20/2019 4:00,7514.75,7559.25,7361.5,7391.75,634294,,,
NQ=F,5/21/2019 4:00,7408.25,7485.25,7400.75,7464,436744,,,
NQ=F,5/22/2019 4:00,7462.75,7475,7391.25,7430,455678,,,
NQ=F,5/23/2019 4:00,7430.75,7434.75,7268,7311,640165,,,
NQ=F,5/24/2019 4:00,7316.75,7379.75,7300.5,7315.5,407810,,,
NQ=F,5/28/2019 4:00,7315.5,7371.75,7280.25,7295.25,528983,,,
NQ=F,5/29/2019 4:00,7291.5,7296,7183.25,7216,568052,,,
NQ=F,5/30/2019 4:00,7214.75,7271.25,7208.5,7255.25,403475,,,
NQ=F,5/31/2019 4:00,7251.75,7256,7129.25,7133.5,540433,,,
NQ=F,6/3/2019 4:00,7110,7132.5,6941.25,6993.75,771723,,,
NQ=F,6/4/2019 4:00,7008.75,7186.5,6981.75,7179.25,565396,,,
NQ=F,6/5/2019 4:00,7189,7245.25,7150.25,7228.5,534798,,,
NQ=F,6/6/2019 4:00,7213.75,7299.25,7181,7282.25,433916,,,
NQ=F,6/7/2019 4:00,7266.5,7453,7257.75,7419.5,484835,,,
NQ=F,6/10/2019 4:00,7469,7578.5,7431.25,7515.5,463884,,,
NQ=F,6/11/2019 4:00,7519.5,7600.75,7492.75,7518.25,461725,,,
NQ=F,6/12/2019 4:00,7517.75,7531,7461,7473.25,388858,,,
NQ=F,6/13/2019 4:00,7476,7536,7421,7522.75,396174,,,
NQ=F,6/14/2019 4:00,7503.25,7520.75,7451.5,7478.25,254822,,,
NQ=F,6/17/2019 4:00,7481,7550.75,7476,7534.25,184038,,,
NQ=F,6/18/2019 4:00,7542.25,7693.5,7514.75,7645.25,209971,,,
NQ=F,6/19/2019 4:00,7641,7685.75,7601.75,7674.25,112587,,,
NQ=F,6/20/2019 4:00,7668,7793,7660,7745.25,101514,,,
NQ=F,6/21/2019 4:00,7737,7743.25,7701.5,7723.609863,379078,,,
NQ=F,6/24/2019 4:00,7744.5,7794.25,7731.75,7758.75,260978,,,
NQ=F,6/25/2019 4:00,7753,7779.5,7609.5,7628.75,424811,,,
NQ=F,6/26/2019 4:00,7633,7719,7616.25,7650,376979,,,
NQ=F,6/27/2019 4:00,7641,7716.5,7640.75,7690.5,300152,,,
NQ=F,6/28/2019 4:00,7685.25,7726,7664,7693.75,310126,,,
NQ=F,7/1/2019 4:00,7781.5,7849.75,7759,7790,406594,,,
NQ=F,7/2/2019 4:00,7792.5,7843.25,7763,7838.25,297574,,,
NQ=F,7/5/2019 4:00,7887.75,7909.75,7797.25,7851.5,375287,,,
NQ=F,7/8/2019 4:00,7855,7863.5,7777.5,7801,342228,,,
NQ=F,7/9/2019 4:00,7802.25,7858.75,7743,7845.25,346314,,,
NQ=F,7/10/2019 4:00,7848,7949.5,7811.25,7928.75,442842,,,
NQ=F,7/11/2019 4:00,7924.25,7963.25,7894.25,7918.75,407894,,,
NQ=F,7/12/2019 4:00,7917.25,7967.5,7911.75,7960,299817,,,
NQ=F,7/15/2019 4:00,7958.25,7992,7941.25,7986.75,247176,,,
NQ=F,7/16/2019 4:00,7982.75,8001.5,7924,7942.75,303702,,,
NQ=F,7/17/2019 4:00,7939.75,7966.25,7868,7885.5,303890,,,
NQ=F,7/18/2019 4:00,7868,7954.75,7833,7933.5,413722,,,
NQ=F,7/19/2019 4:00,7950.5,7980.75,7815.25,7842.75,438469,,,
NQ=F,7/22/2019 4:00,7830,7936.5,7826.25,7924.75,355209,,,
NQ=F,7/23/2019 4:00,7926.5,7985.75,7908,7983.75,357765,,,
NQ=F,7/24/2019 4:00,7944,8051.75,7925.25,8038,356159,,,
NQ=F,7/25/2019 4:00,8004.5,8034.5,7917.25,7981.75,433945,,,
NQ=F,7/26/2019 4:00,7992,8040.75,7987.5,8019.75,322305,,,
NQ=F,7/29/2019 4:00,8017.5,8031.75,7951.75,8001.25,301214,,,
NQ=F,7/30/2019 4:00,8004.25,8020,7928.25,7963.25,394698,,,
NQ=F,7/31/2019 4:00,7992.5,8001.25,7782.25,7866.75,556437,,,
NQ=F,8/1/2019 4:00,7834,8014.5,7776.75,7808.25,772956,,,
NQ=F,8/2/2019 4:00,7797,7806,7650.25,7702.25,736453,,,
NQ=F,8/5/2019 4:00,7701.75,7705.5,7359.75,7385.25,848399,,,
NQ=F,8/6/2019 4:00,7349,7549,7224.5,7515.5,845239,,,
NQ=F,8/7/2019 4:00,7512.75,7577.5,7387.5,7553.25,851275,,,
NQ=F,8/8/2019 4:00,7553.5,7738.5,7526,7735.75,553666,,,
NQ=F,8/9/2019 4:00,7699.5,7724,7596.75,7660.25,619044,,,
NQ=F,8/12/2019 4:00,7654.5,7710,7534.75,7566.75,552715,,,
NQ=F,8/13/2019 4:00,7570.25,7789.5,7514,7748,674983,,,
NQ=F,8/14/2019 4:00,7746.5,7767.5,7477,7488.75,825231,,,
NQ=F,8/15/2019 4:00,7469,7572.75,7388.25,7496.25,705042,,,
NQ=F,8/16/2019 4:00,7509.25,7632.5,7502.5,7611.75,449473,,,
NQ=F,8/19/2019 4:00,7617.25,7750,7616,7727.5,401476,,,
